17:32:46.634 [main] INFO  com.enes.dronegcs.Main - Drone GCS başlatıldı. MAVLink mesajları dinleniyor...
17:32:46.661 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: 0.002m
17:32:46.870 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: 0.002m
17:32:47.119 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: 0.002m
17:32:47.293 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Heartbeat alındı! Sistem ID: 1
17:32:47.367 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: 0.002m
17:32:47.620 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: 0.002m
17:32:47.866 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: 0.002m
17:32:48.121 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: 0.002m
17:32:48.284 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Heartbeat alındı! Sistem ID: 1
17:32:48.366 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: 0.001m
17:32:48.614 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: 0.001m
17:32:48.867 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: 0.001m
17:32:49.118 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: 0.001m
17:32:49.290 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Heartbeat alındı! Sistem ID: 1
